Tweet,Sentiment
"Let the significant person in your life knows that you love and care for him/her. Don't say, 'saka na' or 'bukas na https://t.co/Ii2PIuGQWi",positive
I've never been so happy for West Ham in my entire life... mainly because I like when bad things happen to petulant https://t.co/OMZjZexoJp,positive
"@Thetenner10 @Marrrrcussss @ava Women don't need art to learn these lessons. They have real life. Every woman, ever https://t.co/kcM3UD6HOh",negative
Mourinho once called wenger a specialist in failure. Look at life ?,neutral
@mondomascots I wonder if the person in the costume says How did my life choices lead me to this? a lot.,neutral
"@JustZik Get money and live life how you want too,control your surrounding",negative
I go to the car wash smoke a roach and just appreciate my life every Saturday,positive
"Crazy week. My first friend in kindergarten passed away. Its bothered me since I found out. 

She was one of those https://t.co/8hk0YOzhem",negative
@LiveAction Remember in your prayers those holding vigils during the 40 days of life events. They are literally making miracles happen.,negative
"learn to grow up says a bitch that makes up stories about band members heroin abuse, trafficking minors for sex c https://t.co/KOLCEnzsOp",neutral
"With 'Back to Life,' Rascal Flatts Could Catch Alabama https://t.co/jpdvdWQr83 https://t.co/I9WbZlCB44",neutral
"Squeeze my life? Like,",neutral
@Lance210 It is so fucking weird how the human brain works so a lot of confusion and misunderstanding in life. Be safe and take care Lance,negative
"@OfWildlings Anything. Everything.

It was a rather broad answer to question, and quick one too. It was evident t https://t.co/eq6MANnKJo",neutral
"Those of you that are married in real life but  your profile is reading 'Single' , please do the needful and stop m https://t.co/UnlJfqhtqp",negative
"I know like 20 ppl on this app in real life, before tweets and they all know where I stand on shit. 

If a nigga ve https://t.co/Gy6T0hrYng",negative
"lol everyone whos clowning brenna can succ a dicc
yall are so freaking disgusting to a person you dont know
its https://t.co/2MrxbCsovz",negative
Happy Birthday @ItsMightyGoat! May God bless you abundantly. I hope this new year of your life is filled with joy a https://t.co/pkExFDsbXy,positive
One of lifes biggest mysteries https://t.co/ediZLSQhRn,neutral
My life is empty without #Jesus,negative
@MOONSQUlD starts crying. i know youve been busy with work but do you know so much shIT HAS HAPPENED WHILE YOU WER https://t.co/W7Nacf3Zn5,negative
This literally the hardest shit Ive ever done in my life.,negative
"@HarvardChanSPH Really, I don't drink coffee! It's linked to my faith. I'm healthy and expect to have Eternal Life https://t.co/WKTlkTFY3y",positive
"@SugarDishFairy @BillKristol Hang him. Just make sure he's guilty is all I ask. Don't project, presume, assume, hop https://t.co/HWMJXVG0DG",neutral
"The whole entire world is in your hands, create your life YOUR way.  Saint has your back!  Contact me via link in b https://t.co/kMUtvVSvZB",negative
Check out my classroom on @DonorsChoose! I'd love your help to bring my project to life:  https://t.co/o2YybRLawZ,positive
"I really love Louis with all my heart and every time he is around my heart just explode of love for him, I can't im https://t.co/ebufAFeHeG",positive
"I really hope that one day in my adult life, Ill learn how to crack an egg without getting shell in it",positive
Lifes not fair. Sanchez makes nearly 500k a week and doesnt even have to sit on the subs bench. I want that job  #WHUMUN,negative
True life is lived when tiny changes occur. - Leo Tolstoy,negative
"Without humor, life is boring. Without love, life is hopeless. Without God, life is impossible.",negative
