Tweet,Sentiment
@BekahHearts1D You rock! NEW RULES by @DUALIPA is playing next on Hot 97.5/103.9 Phoenix! Listen &amp; Vote 4 More: https://t.co/8hbjdJ3IFd,positive
"Ok my 6am thoughts about all the infos that missed! 
#serenawilliams meltdown still hot topic and yet people wont https://t.co/p4l5bA7VWA",negative
"@ADeathWithin (You can't deny that Messiah's hot. That's just impossible.

As for Athena, it'd probably almost the https://t.co/ySZE7mSLX2",neutral
"Harry Potter Items Buy 1 Get 1 Free at Claires! 
Plus 20% off using code: CLAIRESBFF
&gt;&gt; https://t.co/s9VuPAXT2c https://t.co/31aahaoYyy",neutral
"When Will the Planet Be Too Hot for Humans? Much, Much Sooner Than You Imagine. https://t.co/4COUO580Wu via @instapaper",negative
"mason margiela - forever 2017
 https://t.co/08AvV3pT1Y 
 janet mason hot nieghbor Esperanza G is All I Want music c https://t.co/58gBM7iH2N",neutral
@BrstlFetishCrew hot ass,negative
"Hot Housing Index 2018: #SouthEast closes in on #north and #Scotland
https://t.co/kQ2XhpvSHy",neutral
"Why Wines of Bulgaria, Romania and Moldova Are A Hot Topic https://t.co/13jneFlLqY #EasternEurope #unique #cheers",neutral
Anyone else does drink hot dhal when finish making ? Or is it me alone.,negative
SO HOT!  ANGEL LOCSIN ARRIVED! #AngelLocsin #ABSCBNBall2018 #AngelLocsinAngelicAtBall https://t.co/FJnZ7xFAyx,positive
BNHA STOP MAKING ALL YOUR VILLAINS HOT CHALLENGE https://t.co/ZqrYSutXo1,neutral
"Going to #Connect2Health? At #SPM2018 pre-conference, hear Bill Marder PhD of @IBMWatsonHealth speak: ""Can a Market https://t.co/TuGUNeAeBP",neutral
clothes with built in hot water bottles,neutral
Get your beauty fix and find some hot beauty deals &gt;&gt; https://t.co/mBbEnQeLtu https://t.co/sXy9wwunIV,neutral
my queen and king are so daaaamn hot,positive
"Relaxing in the hot springs pool in Costa Rica! 

https://t.co/MaU3trESdm

#travel #vacation #costarica #puravida https://t.co/vkBrhWeaQJ",neutral
GETTING VERY HOT DUE TO PLANET CLEANSE CYCLE. GET TO THE TRUTH. NUCLEAR POLLUTION EXTINCTION THEIR LANDS WATER WORL https://t.co/2mmNgDBmMn,positive
#JaDineAtTheREIDCarpet  So Hot  https://t.co/8dSvUs5p2A,neutral
Hot Topic ,neutral
[Mixtape] xanman - Heard Cuz Was Hot @moodyservin @Spinrilla  https://t.co/mX8zN8bsnv ,neutral
"Senior Strivers

The report, Starting Later: Realizing the Promise of Older Entrepreneurs in New York City, reveals https://t.co/XC9KZxLZ0i",neutral
Hot off the press! https://t.co/SrtGSIN4aD is out! https://t.co/KzBqarwwkq https://t.co/90N0T0iFqq,neutral
@be_katz @Nelson81 If they stay winning and he stays hot he will be,neutral
